,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
239,0.027999999999999997,0.887,0.085,0.43,0.01,0.55,0.01,True,True,True,False
240,0.024,0.821,0.155,0.02,0.01,0.96,0.01,True,False,False,False
241,0.013999999999999999,0.833,0.153,0.02,0.02,0.95,0.02,False,False,False,True
242,0.028999999999999998,0.838,0.133,0.02,0.02,0.95,0.02,True,True,True,True
243,0.035,0.836,0.129,0.19,0.02,0.78,0.02,False,False,False,True
244,0.01,0.855,0.135,0.02,0.02,0.95,0.02,True,True,True,True
245,0.021,0.8059999999999999,0.17300000000000001,0.96,0.01,0.01,0.01,True,True,False,False
246,0.027999999999999997,0.848,0.124,0.95,0.02,0.02,0.02,False,True,False,False
247,0.03,0.865,0.105,0.95,0.02,0.02,0.02,True,True,False,False
248,0.018000000000000002,0.85,0.131,0.95,0.02,0.02,0.02,False,False,False,False
249,0.019,0.826,0.155,0.02,0.02,0.94,0.02,True,True,True,False
250,0.03,0.8690000000000001,0.10099999999999999,0.02,0.01,0.95,0.01,False,False,False,False
251,0.022000000000000002,0.813,0.165,0.02,0.01,0.96,0.01,True,True,False,False
252,0.035,0.836,0.129,0.19,0.01,0.78,0.01,True,False,False,False
253,0.011000000000000001,0.802,0.18600000000000003,0.02,0.01,0.96,0.01,False,True,True,True
254,0.019,0.851,0.131,0.02,0.01,0.95,0.01,False,True,True,False
255,0.025,0.865,0.11,0.02,0.01,0.96,0.01,False,False,False,True
256,0.023,0.805,0.172,0.95,0.02,0.02,0.02,False,False,False,False
257,0.018000000000000002,0.8109999999999999,0.17,0.96,0.01,0.01,0.01,False,False,True,False
258,0.015,0.8420000000000001,0.14300000000000002,0.95,0.01,0.02,0.01,False,False,False,True
259,0.02,0.836,0.14400000000000002,0.95,0.02,0.02,0.02,True,True,True,False
260,0.035,0.8320000000000001,0.133,0.94,0.02,0.02,0.02,True,False,True,True
261,0.043,0.831,0.126,0.95,0.02,0.02,0.02,False,False,False,False
262,0.008,0.862,0.13,0.95,0.02,0.02,0.02,False,False,False,False
263,0.027000000000000003,0.843,0.13,0.96,0.01,0.02,0.01,True,True,True,False
264,0.013999999999999999,0.828,0.159,0.96,0.01,0.01,0.01,True,True,True,False
265,0.025,0.823,0.152,0.87,0.08,0.02,0.02,False,False,False,False
266,0.027000000000000003,0.86,0.113,0.92,0.04,0.02,0.02,True,True,True,True
267,0.015,0.863,0.122,0.92,0.04,0.02,0.02,True,True,True,True
268,0.028999999999999998,0.83,0.14,0.02,0.02,0.95,0.02,False,False,True,True
269,0.032,0.81,0.158,0.15,0.01,0.83,0.01,True,True,True,False
270,0.023,0.8240000000000001,0.153,0.14,0.01,0.84,0.01,False,False,False,False
271,0.018000000000000002,0.865,0.11699999999999999,0.24,0.02,0.73,0.02,True,True,True,True
272,0.019,0.847,0.134,0.02,0.01,0.96,0.01,False,False,True,False
